TID,GID,gene_symbol
ENST00000637899,ENSG00000283610,CT476828.21
ENST00000638095,ENSG00000283388,CT476828.12
ENST00000625749,ENSG00000281757,AC254560.1
ENST00000632802,ENSG00000282046,GREM1
ENST00000633373,ENSG00000282276,ARHGAP11B
ENST00000635854,ENSG00000283589,GOLGA8N
ENST00000630716,ENSG00000280905,CYP2D6
ENST00000627727,ENSG00000281465,AC208162.1
ENST00000625759,ENSG00000281465,AC208162.1
ENST00000630405,ENSG00000281478,AC254995.1
ENST00000626205,ENSG00000281478,AC254995.1
ENST00000634438,ENSG00000282833,PHACTR1
ENST00000635308,ENSG00000282833,PHACTR1
ENST00000635242,ENSG00000282833,PHACTR1
ENST00000635715,ENSG00000282833,PHACTR1
ENST00000634361,ENSG00000282833,PHACTR1
ENST00000635196,ENSG00000282833,PHACTR1
ENST00000635566,ENSG00000282833,PHACTR1
ENST00000634261,ENSG00000282833,PHACTR1
ENST00000634449,ENSG00000282833,PHACTR1
ENST00000634272,ENSG00000282833,PHACTR1
ENST00000635437,ENSG00000282891,STATH
ENST00000634689,ENSG00000282984,TBCE
ENST00000635014,ENSG00000282984,TBCE
ENST00000634240,ENSG00000282966,CYP2D6
ENST00000635707,ENSG00000282983,AC063956.2
ENST00000634470,ENSG00000282837,AC254788.1
ENST00000635319,ENSG00000282837,AC254788.1
ENST00000634949,ENSG00000282967,HTN3
ENST00000634696,ENSG00000283087,CPEB2
ENST00000634867,ENSG00000283087,CPEB2
ENST00000634532,ENSG00000283087,CPEB2
ENST00000635093,ENSG00000283087,CPEB2
ENST00000635651,ENSG00000283087,CPEB2
ENST00000635149,ENSG00000283087,CPEB2
ENST00000634493,ENSG00000283087,CPEB2
ENST00000635061,ENSG00000283087,CPEB2
ENST00000635362,ENSG00000283087,CPEB2
ENST00000634477,ENSG00000283046,HTN1
ENST00000634825,ENSG00000282848,MYO16
ENST00000635050,ENSG00000282848,MYO16
ENST00000634250,ENSG00000282848,MYO16
ENST00000635544,ENSG00000282848,MYO16
ENST00000634599,ENSG00000282848,MYO16
ENST00000634397,ENSG00000282848,MYO16
